,Datos,Datos Ch2,Tiempo,Tiempo Ch2,Tiempo de integración [ms],Polarizacion grande,Polarizacion chica,Resistencia
1113,-0.0013699999999999997,-0.0013699999999999997,-0.002,-0.008,,,,
1114,-0.00136,-0.00136,0.002,0.0,,,,
1115,-0.0013500000000000005,-0.0013500000000000005,0.0,0.004,,,,
1116,-0.0013399999999999992,-0.0013399999999999992,0.002,0.012,,,,
1117,-0.0013299999999999996,-0.0013299999999999996,0.0,0.004,,,,
1118,-0.00132,-0.00132,-0.002,-0.016,,,,
1119,-0.0013100000000000004,-0.0013100000000000004,0.002,0.004,,,,
1120,-0.001299999999999999,-0.001299999999999999,0.0,-0.004,,,,
1121,-0.0012899999999999995,-0.0012899999999999995,0.002,-0.004,,,,
1122,-0.0012799999999999999,-0.0012799999999999999,0.002,0.0,,,,
1123,-0.0012700000000000003,-0.0012700000000000003,0.004,-0.008,,,,
1124,-0.001259999999999999,-0.001259999999999999,0.002,0.008,,,,
1125,-0.0012499999999999994,-0.0012499999999999994,-0.002,0.008,,,,
1126,-0.0012399999999999998,-0.0012399999999999998,0.0,0.0,,,,
1127,-0.0012300000000000002,-0.0012300000000000002,0.0,0.0,,,,
1128,-0.0012200000000000006,-0.0012200000000000006,0.006,0.02,,,,
1129,-0.0012099999999999993,-0.0012099999999999993,0.002,0.004,,,,
1130,-0.0011999999999999997,-0.0011999999999999997,0.0,0.0,,,,
1131,-0.00119,-0.00119,0.0,-0.004,,,,
1132,-0.0011800000000000005,-0.0011800000000000005,0.002,0.004,,,,
1133,-0.0011699999999999992,-0.0011699999999999992,0.002,-0.036000000000000004,,,,
1134,-0.0011599999999999996,-0.0011599999999999996,0.002,0.004,,,,
1135,-0.00115,-0.00115,0.002,0.008,,,,
1136,-0.0011400000000000004,-0.0011400000000000004,0.0,0.012,,,,
1137,-0.001129999999999999,-0.001129999999999999,0.002,0.012,,,,
1138,-0.0011199999999999995,-0.0011199999999999995,-0.014,0.012,,,,
1139,-0.0011099999999999999,-0.0011099999999999999,0.002,0.008,,,,
1140,-0.0011000000000000003,-0.0011000000000000003,0.0,0.004,,,,
1141,-0.001089999999999999,-0.001089999999999999,0.002,0.004,,,,
1142,-0.0010799999999999994,-0.0010799999999999994,0.0,0.0,,,,
1143,-0.0010699999999999998,-0.0010699999999999998,0.008,0.0,,,,
1144,-0.0010600000000000002,-0.0010600000000000002,0.0,0.0,,,,
1145,-0.0010500000000000006,-0.0010500000000000006,0.002,-0.004,,,,
1146,-0.0010399999999999993,-0.0010399999999999993,0.0,0.008,,,,
1147,-0.0010299999999999997,-0.0010299999999999997,0.002,0.012,,,,
1148,-0.00102,-0.00102,0.01,0.0,,,,
1149,-0.0010100000000000005,-0.0010100000000000005,0.004,0.008,,,,
1150,-0.0009999999999999992,-0.0009999999999999992,0.004,0.004,,,,
1151,-0.0009899999999999996,-0.0009899999999999996,0.0,0.004,,,,
1152,-0.00098,-0.00098,0.002,0.004,,,,
1153,-0.0009700000000000004,-0.0009700000000000004,0.006,0.004,,,,
1154,-0.000959999999999999,-0.000959999999999999,0.002,0.004,,,,
1155,-0.0009499999999999995,-0.0009499999999999995,0.002,0.004,,,,
1156,-0.0009399999999999999,-0.0009399999999999999,0.0,0.0,,,,
1157,-0.0009300000000000003,-0.0009300000000000003,-0.002,0.008,,,,
1158,-0.0009199999999999989,-0.0009199999999999989,0.004,0.0,,,,
1159,-0.0009099999999999994,-0.0009099999999999994,0.004,0.016,,,,
1160,-0.0008999999999999998,-0.0008999999999999998,0.004,-0.004,,,,
1161,-0.0008900000000000002,-0.0008900000000000002,0.0,0.0,,,,
1162,-0.0008800000000000006,-0.0008800000000000006,0.002,0.0,,,,
1163,-0.0008699999999999992,-0.0008699999999999992,-0.002,0.008,,,,
1164,-0.0008599999999999997,-0.0008599999999999997,0.0,0.008,,,,
1165,-0.0008500000000000001,-0.0008500000000000001,0.004,-0.004,,,,
1166,-0.0008400000000000005,-0.0008400000000000005,0.0,0.008,,,,
1167,-0.0008299999999999991,-0.0008299999999999991,0.002,0.004,,,,
1168,-0.0008199999999999995,-0.0008199999999999995,-0.002,-0.02,,,,
1169,-0.00081,-0.00081,0.002,0.016,,,,
1170,-0.0008000000000000004,-0.0008000000000000004,0.0,0.0,,,,
1171,-0.000789999999999999,-0.000789999999999999,0.002,0.0,,,,
1172,-0.0007799999999999994,-0.0007799999999999994,0.0,0.008,,,,
1173,-0.0007699999999999999,-0.0007699999999999999,-0.008,-0.028,,,,
1174,-0.0007600000000000003,-0.0007600000000000003,0.004,0.0,,,,
1175,-0.0007499999999999989,-0.0007499999999999989,-0.002,0.0,,,,
1176,-0.0007399999999999993,-0.0007399999999999993,0.002,0.004,,,,
1177,-0.0007299999999999997,-0.0007299999999999997,0.0,0.004,,,,
1178,-0.0007200000000000002,-0.0007200000000000002,0.006,-0.028,,,,
1179,-0.0007100000000000006,-0.0007100000000000006,0.002,-0.004,,,,
1180,-0.0006999999999999992,-0.0006999999999999992,0.0,0.0,,,,
1181,-0.0006899999999999996,-0.0006899999999999996,0.004,0.008,,,,
1182,-0.00068,-0.00068,0.002,0.0,,,,
1183,-0.0006700000000000005,-0.0006700000000000005,0.002,-0.028,,,,
1184,-0.0006599999999999991,-0.0006599999999999991,0.002,0.004,,,,
1185,-0.0006499999999999995,-0.0006499999999999995,-0.002,0.008,,,,
1186,-0.0006399999999999999,-0.0006399999999999999,0.002,0.004,,,,
1187,-0.0006300000000000004,-0.0006300000000000004,0.004,0.0,,,,
1188,-0.000619999999999999,-0.000619999999999999,0.002,-0.02,,,,
1189,-0.0006099999999999994,-0.0006099999999999994,0.002,-0.004,,,,
1190,-0.0005999999999999998,-0.0005999999999999998,0.004,0.0,,,,
1191,-0.0005900000000000002,-0.0005900000000000002,0.004,0.0,,,,
1192,-0.0005799999999999989,-0.0005799999999999989,0.002,0.0,,,,
1193,-0.0005699999999999993,-0.0005699999999999993,-0.004,-0.024,,,,
1194,-0.0005599999999999997,-0.0005599999999999997,0.002,0.004,,,,
1195,-0.0005500000000000001,-0.0005500000000000001,0.004,0.008,,,,
1196,-0.0005400000000000005,-0.0005400000000000005,0.004,-0.004,,,,
1197,-0.0005299999999999992,-0.0005299999999999992,0.002,0.0,,,,
1198,-0.0005199999999999996,-0.0005199999999999996,-0.002,-0.008,,,,
