,Datos,Tiempo,Tiempo de integración [ms]
99,-0.023020000000000002,-0.023200000000000002,5
100,-0.023,-0.02,5
101,-0.02298,-0.023200000000000002,5
102,-0.02296,-0.02,5
103,-0.022940000000000002,-0.023200000000000002,5
104,-0.022920000000000003,-0.0216,5
105,-0.0229,-0.027200000000000002,5
106,-0.02288,-0.027200000000000002,5
107,-0.022860000000000002,-0.02,5
108,-0.022840000000000003,-0.0264,5
109,-0.02282,-0.0224,5
110,-0.0228,-0.020800000000000003,5
111,-0.02278,-0.02,5
112,-0.022760000000000002,-0.019200000000000002,5
113,-0.02274,-0.0152,5
114,-0.02272,-0.014400000000000001,5
115,-0.0227,-0.0152,5
116,-0.022680000000000002,-0.016,5
117,-0.02266,-0.010400000000000001,5
118,-0.02264,-0.0128,5
119,-0.02262,-0.0152,5
120,-0.022600000000000002,-0.014400000000000001,5
121,-0.022580000000000003,-0.0112,5
122,-0.02256,-0.007200000000000001,5
123,-0.02254,-0.009600000000000001,5
124,-0.022520000000000002,-0.0112,5
125,-0.022500000000000003,-0.010400000000000001,5
126,-0.02248,-0.0088,5
127,-0.02246,-0.008,5
128,-0.02244,-0.0088,5
129,-0.022420000000000002,-0.0296,5
130,-0.0224,-0.028,5
131,-0.02238,-0.0304,5
132,-0.02236,-0.027200000000000002,5
133,-0.022340000000000002,-0.024800000000000003,5
134,-0.02232,-0.028,5
135,-0.0223,-0.0456,5
136,-0.02228,-0.0424,5
137,-0.022260000000000002,-0.038400000000000004,5
138,-0.022240000000000003,-0.038400000000000004,5
139,-0.02222,-0.0352,5
140,-0.0222,-0.0328,5
141,-0.022180000000000002,-0.036000000000000004,5
142,-0.022160000000000003,-0.028800000000000003,5
143,-0.02214,-0.028800000000000003,5
144,-0.02212,-0.028,5
145,-0.0221,-0.024800000000000003,5
146,-0.022080000000000002,-0.02,5
147,-0.02206,-0.020800000000000003,5
148,-0.02204,-0.020800000000000003,5
149,-0.02202,-0.016800000000000002,5
150,-0.022000000000000002,-0.0184,5
151,-0.02198,-0.019200000000000002,5
152,-0.02196,-0.0184,5
153,-0.02194,-0.02,5
154,-0.021920000000000002,-0.020800000000000003,5
155,-0.021900000000000003,-0.016,5
156,-0.02188,-0.02,5
157,-0.02186,-0.014400000000000001,5
158,-0.021840000000000002,-0.0352,5
159,-0.021820000000000003,-0.0296,5
160,-0.0218,-0.028800000000000003,5
161,-0.02178,-0.0256,5
162,-0.02176,-0.028,5
163,-0.021740000000000002,-0.031200000000000002,5
164,-0.02172,-0.0264,5
165,-0.0217,-0.020800000000000003,5
166,-0.02168,-0.020800000000000003,5
