,Datos,Tiempo,Tiempo de integración [ms]
1840,0.02360000000000001,-0.0432,10
1841,0.023640000000000008,-0.0368,10
1842,0.023680000000000007,-0.033600000000000005,10
1843,0.023720000000000005,-0.0256,10
1844,0.023760000000000003,-0.0328,10
1845,0.0238,-0.0224,10
1846,0.02384,-0.0184,10
1847,0.02388,-0.0152,10
1848,0.023919999999999997,-0.016,10
1849,0.02396000000000001,-0.0152,10
1850,0.024000000000000007,-0.0112,10
1851,0.024040000000000006,-0.0088,10
1852,0.024080000000000004,-0.0152,10
1853,0.024120000000000003,-0.019200000000000002,10
1854,0.02416,-0.019200000000000002,10
1855,0.0242,-0.014400000000000001,10
1856,0.024239999999999998,-0.0128,10
1857,0.02428000000000001,-0.0128,10
1858,0.02432000000000001,-0.0368,10
1859,0.024360000000000007,-0.04,10
1860,0.024400000000000005,-0.0352,10
1861,0.024440000000000003,-0.031200000000000002,10
1862,0.024480000000000002,-0.0256,10
1863,0.02452,-0.023200000000000002,10
1864,0.02456,-0.024800000000000003,10
1865,0.024599999999999997,-0.019200000000000002,10
1866,0.02464000000000001,-0.0184,10
1867,0.024680000000000007,-0.014400000000000001,10
1868,0.024720000000000006,-0.0176,10
1869,0.024760000000000004,-0.009600000000000001,10
1870,0.024800000000000003,-0.014400000000000001,10
1871,0.02484,-0.014400000000000001,10
1872,0.02488,-0.016,10
1873,0.024919999999999998,-0.0128,10
1874,0.02496000000000001,-0.0128,10
1875,0.02500000000000001,-0.010400000000000001,10
1876,0.025040000000000007,-0.031200000000000002,10
1877,0.025080000000000005,-0.028800000000000003,10
1878,0.025120000000000003,-0.024,10
1879,0.025160000000000002,-0.0368,10
1880,0.0252,-0.044000000000000004,10
1881,0.02524,-0.0352,10
1882,0.025279999999999997,-0.028,10
1883,0.02532000000000001,-0.0256,10
1884,0.025360000000000008,-0.033600000000000005,10
1885,0.025400000000000006,-0.0296,10
1886,0.025440000000000004,-0.024800000000000003,10
1887,0.025480000000000003,-0.024800000000000003,10
1888,0.02552,-0.023200000000000002,10
1889,0.02556,-0.02,10
1890,0.025599999999999998,-0.0176,10
1891,0.02564000000000001,-0.016800000000000002,10
1892,0.02568000000000001,-0.012,10
1893,0.025720000000000007,-0.0112,10
1894,0.025760000000000005,-0.013600000000000001,10
1895,0.025800000000000003,-0.024800000000000003,10
1896,0.025840000000000002,-0.020800000000000003,10
1897,0.02588,-0.0184,10
1898,0.02592,-0.013600000000000001,10
1899,0.025959999999999997,-0.010400000000000001,10
1900,0.02600000000000001,-0.0112,10
1901,0.026040000000000008,-0.009600000000000001,10
1902,0.026080000000000006,-0.009600000000000001,10
1903,0.026120000000000004,-0.0056,10
1904,0.026160000000000003,-0.016800000000000002,10
1905,0.0262,-0.013600000000000001,10
1906,0.02624,-0.012,10
1907,0.026279999999999998,-0.013600000000000001,10
1908,0.02632000000000001,-0.019200000000000002,10
1909,0.02636000000000001,-0.012,10
1910,0.026400000000000007,-0.016800000000000002,10
1911,0.026440000000000005,-0.010400000000000001,10
1912,0.026480000000000004,-0.009600000000000001,10
1913,0.026520000000000002,-0.0088,10
1914,0.02656,-0.0056,10
1915,0.0266,-0.009600000000000001,10
1916,0.026639999999999997,-0.0224,10
1917,0.02668000000000001,-0.0184,10
1918,0.026720000000000008,-0.0152,10
1919,0.026760000000000006,-0.016,10
1920,0.026800000000000004,-0.0176,10
1921,0.026840000000000003,-0.0128,10
1922,0.02688,-0.014400000000000001,10
1923,0.02692,-0.0128,10
1924,0.026959999999999998,-0.010400000000000001,10
1925,0.02700000000000001,-0.0088,10
1926,0.02704000000000001,-0.016800000000000002,10
1927,0.027080000000000007,-0.0256,10
1928,0.027120000000000005,-0.0216,10
1929,0.027160000000000004,-0.0264,10
1930,0.027200000000000002,-0.023200000000000002,10
1931,0.02724,-0.020800000000000003,10
1932,0.02728,-0.0184,10
1933,0.027319999999999997,-0.0176,10
1934,0.02736000000000001,-0.0152,10
1935,0.027400000000000008,-0.0152,10
1936,0.027440000000000006,-0.014400000000000001,10
1937,0.027480000000000004,-0.010400000000000001,10
1938,0.027520000000000003,-0.012,10
1939,0.02756,-0.009600000000000001,10
1940,0.0276,-0.007200000000000001,10
1941,0.027639999999999998,-0.0056,10
1942,0.02768000000000001,-0.0064,10
1943,0.02772000000000001,-0.004,10
1944,0.027760000000000007,-0.0024000000000000002,10
1945,0.027800000000000005,-0.0064,10
1946,0.027840000000000004,-0.0088,10
1947,0.027880000000000002,-0.0056,10
1948,0.02792,-0.0128,10
1949,0.02796,-0.009600000000000001,10
1950,0.027999999999999997,-0.016800000000000002,10
1951,0.02804000000000001,-0.02,10
1952,0.028080000000000008,-0.0112,10
1953,0.028120000000000006,-0.0112,10
1954,0.028160000000000004,-0.016800000000000002,10
1955,0.028200000000000003,-0.0152,10
1956,0.02824,-0.014400000000000001,10
1957,0.02828,-0.0088,10
1958,0.028319999999999998,-0.009600000000000001,10
1959,0.02836000000000001,-0.010400000000000001,10
1960,0.02840000000000001,-0.014400000000000001,10
1961,0.028440000000000007,-0.016800000000000002,10
1962,0.028480000000000005,-0.012,10
1963,0.028520000000000004,-0.016,10
1964,0.028560000000000002,-0.0328,10
1965,0.0286,-0.024800000000000003,10
1966,0.02864,-0.0352,10
1967,0.028679999999999997,-0.027200000000000002,10
1968,0.02872000000000001,-0.027200000000000002,10
1969,0.028760000000000008,-0.028800000000000003,10
1970,0.028800000000000006,-0.0264,10
1971,0.028840000000000005,-0.020800000000000003,10
1972,0.028880000000000003,-0.016800000000000002,10
1973,0.02892,-0.0176,10
1974,0.02896,-0.016800000000000002,10
1975,0.028999999999999998,-0.023200000000000002,10
1976,0.02904000000000001,-0.0176,10
1977,0.02908000000000001,-0.019200000000000002,10
1978,0.029120000000000007,-0.014400000000000001,10
1979,0.029160000000000005,-0.0112,10
1980,0.029200000000000004,-0.010400000000000001,10
1981,0.029240000000000002,-0.013600000000000001,10
1982,0.02928,-0.0152,10
1983,0.02932,-0.0128,10
1984,0.029359999999999997,-0.0088,10
1985,0.02940000000000001,-0.008,10
1986,0.029440000000000008,-0.009600000000000001,10
1987,0.029480000000000006,-0.007200000000000001,10
1988,0.029520000000000005,-0.0176,10
1989,0.029560000000000003,-0.0112,10
1990,0.0296,-0.0216,10
1991,0.02964,-0.0184,10
1992,0.029679999999999998,-0.0152,10
1993,0.02972000000000001,-0.009600000000000001,10
1994,0.02976000000000001,-0.013600000000000001,10
1995,0.029800000000000007,-0.024800000000000003,10
1996,0.029840000000000005,-0.02,10
1997,0.029880000000000004,-0.02,10
1998,0.029920000000000002,-0.013600000000000001,10
1999,0.02996,-0.009600000000000001,10
2000,0.03,-0.009600000000000001,10
2001,0.030039999999999997,-0.0112,10
2002,0.03008000000000001,-0.014400000000000001,10
2003,0.030120000000000008,-0.0128,10
2004,0.030160000000000006,-0.0064,10
2005,0.030200000000000005,-0.007200000000000001,10
2006,0.030240000000000003,-0.0064,10
2007,0.03028,-0.008,10
2008,0.03032,-0.004,10
2009,0.030359999999999998,-0.004,10
2010,0.03040000000000001,-0.0064,10
2011,0.03044000000000001,-0.0064,10
2012,0.030480000000000007,-0.0032,10
2013,0.030520000000000005,-0.004,10
2014,0.030560000000000004,0.0,10
2015,0.030600000000000002,-0.008,10
2016,0.03064,-0.0064,10
2017,0.03068,-0.010400000000000001,10
2018,0.030719999999999997,-0.010400000000000001,10
2019,0.03076000000000001,-0.004,10
2020,0.030800000000000008,-0.0064,10
2021,0.030840000000000006,-0.004,10
