,Datos,Tiempo,Tiempo de integración [ms],Polarizacion grande,Polarizacion chica
176,-0.042960000000000005,-0.428,,,
177,-0.04292,-0.44,,,
178,-0.04288,-0.456,,,
179,-0.04284,-0.456,,,
180,-0.042800000000000005,-0.44,,,
181,-0.04276,-0.432,,,
182,-0.04272,-0.492,,,
183,-0.04268,-0.5,,,
184,-0.042640000000000004,-0.5760000000000001,,,
185,-0.0426,-0.544,,,
186,-0.04256,-0.54,,,
187,-0.04252,-0.58,,,
188,-0.042480000000000004,-0.612,,,
189,-0.042440000000000005,-0.624,,,
190,-0.0424,-0.664,,,
191,-0.04236,-0.592,,,
192,-0.04232,-0.5720000000000001,,,
193,-0.042280000000000005,-0.588,,,
194,-0.04224,-0.608,,,
195,-0.0422,-0.652,,,
196,-0.04216,-0.656,,,
197,-0.042120000000000005,-0.632,,,
198,-0.042080000000000006,-0.612,,,
199,-0.04204,-0.616,,,
200,-0.042,-0.624,,,
201,-0.041960000000000004,-0.596,,,
202,-0.04192,-0.624,,,
203,-0.04188,-0.62,,,
204,-0.04184,-0.588,,,
205,-0.041800000000000004,-0.588,,,
206,-0.041760000000000005,-0.544,,,
207,-0.04172,-0.504,,,
208,-0.04168,-0.508,,,
209,-0.04164,-0.492,,,
210,-0.0416,-0.512,,,
211,-0.04156,-0.552,,,
212,-0.04152,-0.552,,,
213,-0.04148,-0.552,,,
214,-0.041440000000000005,-0.544,,,
215,-0.041400000000000006,-0.5720000000000001,,,
216,-0.04136,-0.596,,,
217,-0.04132,-0.652,,,
218,-0.041280000000000004,-0.632,,,
219,-0.04124,-0.644,,,
220,-0.0412,-0.592,,,
221,-0.04116,-0.5680000000000001,,,
222,-0.041120000000000004,-0.592,,,
223,-0.041080000000000005,-0.5680000000000001,,,
224,-0.04104,-0.584,,,
225,-0.041,-0.552,,,
226,-0.04096,-0.556,,,
227,-0.04092,-0.548,,,
228,-0.04088,-0.532,,,
229,-0.04084,-0.512,,,
230,-0.0408,-0.484,,,
231,-0.040760000000000005,-0.444,,,
232,-0.040720000000000006,-0.47600000000000003,,,
233,-0.04068,-0.47200000000000003,,,
234,-0.04064,-0.48,,,
235,-0.040600000000000004,-0.5,,,
236,-0.04056,-0.492,,,
237,-0.04052,-0.496,,,
238,-0.04048,-0.508,,,
239,-0.040440000000000004,-0.528,,,
240,-0.040400000000000005,-0.608,,,
241,-0.04036,-0.62,,,
242,-0.04032,-0.584,,,
243,-0.04028,-0.5640000000000001,,,
244,-0.04024,-0.5760000000000001,,,
245,-0.0402,-0.548,,,
246,-0.04016,-0.592,,,
247,-0.04012,-0.584,,,
248,-0.040080000000000005,-0.536,,,
249,-0.040040000000000006,-0.5760000000000001,,,
250,-0.04,-0.552,,,
251,-0.03996,-0.524,,,
252,-0.039920000000000004,-0.528,,,
253,-0.03988,-0.58,,,
254,-0.03984,-0.5720000000000001,,,
255,-0.0398,-0.536,,,
256,-0.039760000000000004,-0.532,,,
257,-0.039720000000000005,-0.54,,,
258,-0.03968,-0.516,,,
259,-0.03964,-0.508,,,
260,-0.0396,-0.528,,,
261,-0.03956,-0.52,,,
262,-0.03952,-0.536,,,
263,-0.03948,-0.524,,,
264,-0.03944,-0.532,,,
265,-0.039400000000000004,-0.548,,,
266,-0.039360000000000006,-0.5760000000000001,,,
267,-0.03932,-0.616,,,
268,-0.03928,-0.616,,,
269,-0.039240000000000004,-0.584,,,
270,-0.0392,-0.58,,,
271,-0.03916,-0.5640000000000001,,,
272,-0.03912,-0.544,,,
273,-0.039080000000000004,-0.524,,,
274,-0.039040000000000005,-0.5720000000000001,,,
275,-0.039,-0.58,,,
276,-0.03896,-0.584,,,
277,-0.03892,-0.5640000000000001,,,
278,-0.03888,-0.548,,,
279,-0.03884,-0.584,,,
280,-0.0388,-0.5640000000000001,,,
281,-0.03876,-0.592,,,
282,-0.038720000000000004,-0.604,,,
283,-0.038680000000000006,-0.5640000000000001,,,
284,-0.03864,-0.584,,,
285,-0.0386,-0.616,,,
286,-0.038560000000000004,-0.612,,,
287,-0.03852,-0.612,,,
288,-0.03848,-0.5720000000000001,,,
289,-0.03844,-0.5640000000000001,,,
290,-0.038400000000000004,-0.5720000000000001,,,
