,Datos,Tiempo,Tiempo de integración [ms],Polarizacion grande,Polarizacion chica,Resistencia
334,-3.664e-08,-0.0008,,,,
335,-3.66e-08,-0.0008,,,,
336,-3.656e-08,-0.0008,,,,
337,-3.652e-08,-0.0008,,,,
338,-3.648e-08,-0.0008,,,,
339,-3.644e-08,-0.0008,,,,
340,-3.6399999999999995e-08,-0.0008,,,,
341,-3.636e-08,-0.0008,,,,
342,-3.632e-08,-0.0008,,,,
343,-3.628e-08,-0.0008,,,,
344,-3.624e-08,-0.0008,,,,
345,-3.62e-08,-0.0008,,,,
346,-3.616e-08,-0.0008,,,,
347,-3.6119999999999995e-08,-0.0008,,,,
348,-3.6079999999999996e-08,-0.0008,,,,
349,-3.604e-08,-0.0008,,,,
350,-3.6e-08,-0.0008,,,,
351,-3.596e-08,-0.0008,,,,
352,-3.592e-08,-0.0008,,,,
353,-3.588e-08,-0.0008,,,,
354,-3.5839999999999995e-08,-0.0008,,,,
355,-3.5799999999999996e-08,-0.0008,,,,
356,-3.576e-08,-0.0008,,,,
357,-3.572e-08,-0.0008,,,,
358,-3.568e-08,-0.0008,,,,
359,-3.564e-08,-0.0008,,,,
360,-3.56e-08,-0.0008,,,,
361,-3.5559999999999995e-08,-0.0008,,,,
362,-3.5519999999999996e-08,-0.0008,,,,
363,-3.548e-08,-0.0008,,,,
364,-3.544e-08,-0.0008,,,,
365,-3.54e-08,-0.0008,,,,
366,-3.536e-08,-0.0008,,,,
367,-3.532e-08,-0.0008,,,,
368,-3.5279999999999996e-08,-0.0008,,,,
369,-3.5239999999999997e-08,-0.0008,,,,
370,-3.52e-08,0.0,,,,
371,-3.516e-08,0.0,,,,
372,-3.512e-08,0.0,,,,
373,-3.5079999999999994e-08,0.0,,,,
374,-3.504e-08,0.0,,,,
375,-3.4999999999999996e-08,0.0,,,,
376,-3.4960000000000003e-08,0.0,,,,
377,-3.492e-08,0.0,,,,
378,-3.488e-08,0.0,,,,
379,-3.484e-08,0.0,,,,
380,-3.4799999999999994e-08,0.0,,,,
381,-3.476e-08,0.0,,,,
382,-3.4719999999999996e-08,0.0,,,,
383,-3.4680000000000003e-08,0.0,,,,
384,-3.464e-08,0.0,,,,
385,-3.46e-08,0.0,,,,
386,-3.456e-08,0.0,,,,
387,-3.4519999999999994e-08,0.0,,,,
388,-3.448e-08,0.0,,,,
389,-3.4439999999999996e-08,0.0,,,,
390,-3.4400000000000004e-08,0.0,,,,
391,-3.436e-08,0.0,,,,
392,-3.432e-08,0.0,,,,
393,-3.428e-08,0.0,,,,
394,-3.4239999999999994e-08,0.0,,,,
395,-3.42e-08,0.0,,,,
396,-3.4159999999999996e-08,0.0,,,,
397,-3.412e-08,0.0,,,,
398,-3.408e-08,0.0,,,,
399,-3.404e-08,0.0,,,,
400,-3.4e-08,0.0,,,,
401,-3.3959999999999994e-08,0.0,,,,
402,-3.392e-08,-0.0008,,,,
403,-3.3879999999999996e-08,-0.0008,,,,
404,-3.384e-08,-0.0008,,,,
405,-3.38e-08,-0.0008,,,,
406,-3.376e-08,-0.0008,,,,
407,-3.372e-08,-0.0008,,,,
408,-3.3679999999999995e-08,-0.0008,,,,
409,-3.364e-08,-0.0008,,,,
410,-3.3599999999999996e-08,-0.0008,,,,
411,-3.356e-08,-0.0008,,,,
412,-3.352e-08,-0.0008,,,,
413,-3.348e-08,-0.0008,,,,
414,-3.344e-08,-0.0008,,,,
415,-3.3399999999999995e-08,-0.0008,,,,
416,-3.336e-08,-0.0008,,,,
417,-3.3319999999999997e-08,-0.0008,,,,
418,-3.328e-08,-0.0008,,,,
419,-3.324e-08,-0.0008,,,,
420,-3.32e-08,-0.0008,,,,
421,-3.316e-08,-0.0008,,,,
422,-3.3119999999999995e-08,-0.0008,,,,
423,-3.308e-08,-0.0008,,,,
424,-3.304e-08,-0.0008,,,,
425,-3.3e-08,-0.0008,,,,
426,-3.296e-08,-0.0008,,,,
427,-3.292e-08,-0.0008,,,,
428,-3.288e-08,-0.0008,,,,
429,-3.2839999999999995e-08,-0.0008,,,,
430,-3.28e-08,-0.0008,,,,
431,-3.276e-08,-0.0008,,,,
432,-3.272e-08,-0.0008,,,,
433,-3.268e-08,-0.0008,,,,
434,-3.264e-08,-0.0008,,,,
435,-3.26e-08,-0.0008,,,,
436,-3.2559999999999995e-08,-0.0008,,,,
437,-3.252e-08,-0.0008,,,,
438,-3.248e-08,-0.0008,,,,
439,-3.244e-08,-0.0008,,,,
440,-3.24e-08,-0.0008,,,,
441,-3.236e-08,-0.0008,,,,
442,-3.232e-08,-0.0008,,,,
443,-3.2279999999999995e-08,-0.0008,,,,
444,-3.224e-08,-0.0008,,,,
445,-3.22e-08,-0.0008,,,,
446,-3.216e-08,0.0,,,,
447,-3.212e-08,0.0,,,,
448,-3.208e-08,0.0,,,,
449,-3.204e-08,0.0,,,,
450,-3.1999999999999995e-08,0.0,,,,
451,-3.196e-08,0.0,,,,
452,-3.192e-08,0.0,,,,
453,-3.188e-08,0.0,,,,
454,-3.184e-08,0.0,,,,
455,-3.18e-08,0.0,,,,
456,-3.176e-08,0.0,,,,
457,-3.1719999999999996e-08,0.0,,,,
458,-3.168e-08,0.0,,,,
459,-3.164e-08,0.0,,,,
460,-3.16e-08,0.0,,,,
461,-3.156e-08,0.0,,,,
462,-3.152e-08,0.0,,,,
463,-3.148e-08,0.0,,,,
464,-3.1439999999999996e-08,0.0,,,,
465,-3.14e-08,0.0008,,,,
466,-3.136e-08,0.0008,,,,
467,-3.132e-08,0.0008,,,,
468,-3.128e-08,0.0008,,,,
469,-3.124e-08,0.0008,,,,
470,-3.12e-08,0.0008,,,,
471,-3.1159999999999996e-08,0.0008,,,,
472,-3.1120000000000003e-08,0.0008,,,,
473,-3.108e-08,0.0008,,,,
474,-3.104e-08,0.0008,,,,
475,-3.1e-08,0.0008,,,,
476,-3.0959999999999994e-08,0.0,,,,
477,-3.092e-08,0.0,,,,
478,-3.0879999999999996e-08,0.0,,,,
479,-3.0840000000000004e-08,0.0,,,,
480,-3.08e-08,0.0,,,,
481,-3.076e-08,0.0,,,,
482,-3.072e-08,0.0,,,,
483,-3.0679999999999994e-08,0.0,,,,
484,-3.064e-08,0.0,,,,
485,-3.0599999999999996e-08,0.0,,,,
486,-3.0560000000000004e-08,0.0,,,,
487,-3.052e-08,0.0,,,,
488,-3.048e-08,-0.0008,,,,
489,-3.044e-08,-0.0008,,,,
490,-3.0399999999999994e-08,-0.0008,,,,
491,-3.036e-08,-0.0008,,,,
492,-3.0319999999999996e-08,-0.0008,,,,
493,-3.0280000000000004e-08,-0.0008,,,,
494,-3.024e-08,-0.0008,,,,
495,-3.02e-08,-0.0008,,,,
496,-3.016e-08,-0.0008,,,,
497,-3.0119999999999994e-08,-0.0008,,,,
498,-3.008e-08,-0.0008,,,,
499,-3.0039999999999996e-08,-0.0008,,,,
500,-3e-08,-0.0008,,,,
501,-2.996e-08,-0.0008,,,,
502,-2.992e-08,-0.0016,,,,
503,-2.988e-08,-0.0016,,,,
504,-2.9839999999999995e-08,-0.0016,,,,
505,-2.98e-08,-0.0016,,,,
506,-2.976e-08,-0.0016,,,,
507,-2.9719999999999997e-08,-0.0016,,,,
508,-2.968e-08,-0.0016,,,,
509,-2.964e-08,-0.0016,,,,
510,-2.96e-08,-0.0016,,,,
511,-2.9559999999999998e-08,-0.0016,,,,
512,-2.952e-08,-0.0016,,,,
513,-2.948e-08,-0.0016,,,,
514,-2.9439999999999998e-08,-0.0016,,,,
515,-2.94e-08,-0.0016,,,,
516,-2.936e-08,-0.0016,,,,
517,-2.932e-08,-0.0016,,,,
518,-2.9279999999999998e-08,-0.0016,,,,
519,-2.924e-08,-0.0016,,,,
520,-2.92e-08,-0.0008,,,,
521,-2.9159999999999998e-08,-0.0008,,,,
522,-2.912e-08,-0.0008,,,,
523,-2.908e-08,-0.0008,,,,
524,-2.904e-08,-0.0008,,,,
525,-2.8999999999999998e-08,-0.0008,,,,
526,-2.896e-08,-0.0008,,,,
527,-2.892e-08,-0.0008,,,,
528,-2.8879999999999998e-08,-0.0008,,,,
529,-2.884e-08,-0.0008,,,,
530,-2.88e-08,-0.0008,,,,
531,-2.8759999999999997e-08,-0.0008,,,,
532,-2.872e-08,-0.0008,,,,
533,-2.868e-08,-0.0008,,,,
534,-2.864e-08,0.0,,,,
535,-2.8599999999999998e-08,0.0,,,,
536,-2.856e-08,0.0,,,,
537,-2.852e-08,0.0,,,,
538,-2.8479999999999998e-08,0.0,,,,
539,-2.844e-08,0.0,,,,
540,-2.84e-08,0.0,,,,
541,-2.836e-08,0.0,,,,
542,-2.8319999999999998e-08,0.0,,,,
543,-2.828e-08,0.0,,,,
544,-2.824e-08,0.0,,,,
545,-2.8199999999999998e-08,0.0,,,,
546,-2.816e-08,0.0008,,,,
547,-2.812e-08,0.0008,,,,
548,-2.808e-08,0.0008,,,,
549,-2.8039999999999998e-08,0.0008,,,,
550,-2.8e-08,0.0008,,,,
551,-2.796e-08,0.0008,,,,
552,-2.7919999999999998e-08,0.0008,,,,
553,-2.788e-08,0.0008,,,,
554,-2.784e-08,0.0008,,,,
555,-2.7799999999999997e-08,0.0008,,,,
